
"7,265,169"
"8,178,617"

"8,598,269"
"8,679,587"
"8,679,587"
"7,565,340"
"8,772,330"
"8,772,330"
"8,034,780"
"8,957,251"
"9,452,976"




55.31
55.310
55.310
55.310
"8,415,147"
"8,415,147"
"8,415,147"
"8,415,147"
"8,101,732"
"8,414,182"
"8,236,599"
"8,236,599"
"8,801,979"
"7,404,422"
"7,404,422"
"8,580,161"
"9,340,678"
"9,486,716"
"9,486,716"
"9,486,716"
"8,999,265"
"10,030,182"
"10,030,182"
"10,030,182"
"10,030,182"
"10,030,182"
"10,030,182"
"10,030,182"
"10,030,182"
"9,279,778"
"9,844,791"
"9,825,309"
"9,825,309"
"9,825,309"
"9,825,309"
"9,921,006"
"9,921,006"
"9,490,725"
"9,489,973"
"10,618,826"
"9,751,071"
"10,189,003"
"9,758,385"
"9,925,035"
"9,925,035"
"10,595,984"
"10,595,984"
"10,705,228"
"10,705,228"
"10,705,228"
"10,705,228"
"10,024,981"

"10,538,769"
"9,831,954"
"10,308,649"
"10,308,649"
3212634
3212634UK
3212634DE
3212634FR
"9,983,124"
"10,031,242"
"9,763,325"
"10,479,906"
"10,016,422"
"11,090,130"
"11,078,630"
"10,619,890"
"10,619,890"

2017277532
263469



"11,453,777"
"11,029,448"
"10,657,216"
"10,575,331"
"11,343,278"
"10,274,421"
"11,389,796"
"10,905,766"
"10,875,890"
"11,419,843"
"11,419,843"


"11,311,874"
"10,797,760"
"10,804,974"




















"11,207,455"
"11,073,411"
"11,073,411"
"11,383,179"
"11,383,179"
"11,249,199"
"11,249,199"
"11,531,121"
"11,531,121"

"10,732,441"

"11,521,083"
"11,384,450"


PVP201800418










"11,498,277"
"11,498,277"
"11,498,277"
"11,498,277"









"11,119,272"
"11,349,482"
"11,070,129"
"11,471,785"













"11,274,088"
"11,274,088"
"11,274,088"
"11,274,088"





































"11,324,837"
"11,324,837"

























